Source_id,Gaus_id_S,RA_S,E_RA_S,DEC_S,E_DEC_S,Peak_flux_S,E_Peak_flux_S,Total_flux_S,E_Total_flux_S,DC_Maj_S,E_DC_Maj_S,DC_Min_S,E_DC_Min_S,DC_PA_S,E_DC_PA_S,Gaus_id_C,RA_C,E_RA_C,DEC_C,E_DEC_C,Peak_flux_C,E_Peak_flux_C,Total_flux_C,E_Total_flux_C,DC_Maj_C,E_DC_Maj_C,DC_Min_C,E_DC_Min_C,DC_PA_C,E_DC_PA_C,Gaus_id_X,RA_X,E_RA_X,DEC_X,E_DEC_X,Peak_flux_X,E_Peak_flux_X,Total_flux_X,E_Total_flux_X,DC_Maj_X,E_DC_Maj_X,DC_Min_X,E_DC_Min_X,DC_PA_X,E_DC_PA_X,Number of bands,S-band,C-band,X-band,Spectral_index,E_Spectral_index,Upper_limit_spectral_index,Lower_limit_spectral_index,Compactness_S,E_Compactness_S,Compactness_C,E_Compactness_C,Compactness_X,E_Compactness_X,Source_id
0,1,24.34426153,0.00001926093153,15.68518617,0.00001923832468,0.001125450215,0.0001314400767,0.001705633945,0.0001726348572,0.0003345030364,0.00004844550743,0.0002910743789,0.0000419827096,136.6610478,44.86495715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,,,0,0,1.515512568,0.2342141952,,,,,0
1,4,24.28294288,0.00001352790557,15.87117907,0.00001921546564,0.0004981711071,0.00005056396851,0.0007204976166,0.00006699020313,0.0003856904603,0.00004543187429,0.0001754434025,0.00003159434879,11.49815513,16.44043585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,,,0,0,1.446285435,0.1990781199,,,,,1
2,5,24.27442116,0.00003855045198,15.77413965,0.00003668967423,0.000131602846,0.00003163413512,0.0001789465489,0.00004220200827,0.0002724535836,0.00009246987063,0.0002493184648,0.00008458580133,94.67768273,150.4810024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,-0.1610461103,0.1958705143,1,0,1.359746801,0.4578916804,,,,,2
3,6,24.26124564,0.00002982632749,15.92765264,0.00006396774076,0.0003335420087,0.00008083937287,0.0006013949248,0.0001029656281,0.0005915556707,0.0001513038259,0.000164146962,0.00006877718228,175.6173311,19.99816982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,,,0,0,1.803056015,0.5350393314,,,,,3
4,7,24.26078011,0.00003714659204,15.92789908,0.00002749076208,0.0004223106055,0.00008052515857,0.0005765935486,0.0001078516185,0.0004162412678,0.00009684983368,0,0.00004962315168,118.7468834,18.41742871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,,,0,0,1.365330496,0.3646876833,,,,,4
5,8,24.25181088,0.00002276421884,15.75455204,0.00003431652825,0.0001415987025,0.00002730265944,0.0001690828882,0.00003739151371,0,0.00008158320851,0,0.00005242024737,0,27.09127864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,-0.5492240929,0.1836676469,1,0,1.194099135,0.3503469898,,,,,5
6,9,24.23954228,0.00002669316231,15.73970968,0.00001117166153,0.000540593665,0.00002589975206,0.002525171011,0.00005667163454,0.001822103579,0.00006745246525,0.000199926064,0.00000965977628,111.4125076,1.789214623,1,24.23962302,0.00003098840117,15.73965711,0.00001557059435,0.0005711244677,0.00006596602363,0.0008553058801,0.00008465266562,0.0005861477383,0.00007793263733,0,0.00002440947663,110.75071,7.084670501,3,24.23965021,0.00002242243752,15.73963387,0.00001409170702,0.0002145321719,0.00002234805646,0.0003007122717,0.00003297176017,0.000460153821,0.00005510656666,0,0.00002919464388,108.7537196,10.68128864,3,1,1,1,-1.69243152,0.1466613119,,,4.671107293,0.2471287922,1.497582276,0.2277924509,1.401711776,0.2119959524,6
7,10,24.23967614,0.00001358336375,15.73967088,0.00001728746985,0.0001247614894,0.00002314208925,0.00005984010885,0.00003709706838,0,0.00004575519839,0,0.00002422403043,0,17.85620097,1,24.23962302,0.00003098840117,15.73965711,0.00001557059435,0.0005711244677,0.00006596602363,0.0008553058801,0.00008465266562,0.0005861477383,0.00007793263733,0,0.00002440947663,110.75071,7.084670501,3,24.23965021,0.00002242243752,15.73963387,0.00001409170702,0.0002145321719,0.00002234805646,0.0003007122717,0.00003297176017,0.000460153821,0.00005510656666,0,0.00002919464388,108.7537196,10.68128864,3,1,1,1,0.7537604113,1.774296804,,,0.479636057,0.3103686563,1.497582276,0.2277924509,1.401711776,0.2119959524,7
8,11,24.24143809,0.0000279574427,15.73762537,0.00005214549739,0.0001054865742,0.00002693782981,0.0001331244456,0.00003664753214,0,0.0001235542981,0,0.00006439521394,0,25.43913571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,-0.300005704,0.2286368325,1,0,1.262003687,0.4738749995,,,,,8
9,12,24.24197264,0.00004561657536,15.73771944,0.00007896076754,0.00007876897111,0.00002714945502,0.0001204083215,0.00003560918915,0.0004949311288,0.0001940997569,0.00007677058554,0.00009185424546,162.9182946,30.13823538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,-0.2079478669,0.2456206379,1,0,1.528626308,0.6942372038,,,,,9
10,13,24.2389051,0.00000422347079,15.61740936,0.00000442665581,0.004275271828,0.0001372803111,0.006892544699,0.0001955411922,0.0003551711238,0.0000104572176,0.0003248736811,0.00000991055871,14.09914384,25.02732166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,,,0,0,1.612188646,0.06907859702,,,,,10
11,14,24.23742036,0.00002902342969,15.74038128,0.00003754156052,0.0001146477995,0.00002613698464,0.0001357400937,0.00003577458809,0.0002680179122,0.00009046019082,0.00006086678237,0.00006559870755,168.9943181,42.85206818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,-0.4483388728,0.2188899237,1,0,1.183974698,0.4125823487,,,,,11
12,15,24.23599373,0.00003138203766,15.74128569,0.00004717759631,0.0000834253062,0.00002530803631,0.00007991188522,0.00003620854469,0,0.0001112485472,0,0.00007366736866,0,46.35512264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,-0.0529856489,0.3763214436,1,0,0.957885429,0.5223183405,,,,,12
13,16,24.23654562,0.00005558627,15.74092987,0.00005099894401,0.00007869092374,0.00002618171159,0.0001036453956,0.00003522106791,0.0003413238676,0.0001492419231,0.0001302244353,0.00009634802388,128.4071476,46.92578599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,-0.2497870472,0.2822355909,1,0,1.317120077,0.6264000945,,,,,13
14,17,24.23656017,0.0001146791368,15.74139953,0.00006404708449,0.00006838793784,0.00002567448957,0.0001415811958,0.00003193577289,0.0007607157174,0.0002944809332,0.0001272075266,0.00009462445874,114.3835337,23.14891756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,-0.5183578871,0.1873402639,1,0,2.070265609,0.9067266167,,,,,14
15,18,24.23705506,0.0000673824656,15.7407982,0.00005980050767,0.0000517484851,0.0000251319527,0.00004722484062,0.00003634508126,0,0.0001834528325,0,0.0001065480808,0,57.56182901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0.4128281772,0.6391965405,1,0,0.9125840211,0.8304881807,,,,,15
16,19,24.2266275,0.000007191451,15.78613263,0.0000063874029,0.0004558118913,0.00002432954488,0.0004808833925,0.00003305768059,0.0001779149393,0.00001804499865,0,0.00001368922701,117.2494955,10.91240305,3,24.22661597,0.00001947583626,15.78609379,0.00001892811584,0.0002331047175,0.00002951270442,0.0002933461525,0.00003845283329,0.0002327961119,0.000047679676,0.0002107078002,0.00004262241586,118.6232837,64.89348681,4,24.22662454,0.00000694401339,15.78610078,0.00000823968028,0.0002423557274,0.00001811391269,0.0003386330279,0.00002578114253,0.0003767575564,0.00002086072742,0.0001622264458,0.00001444609301,140.8841876,7.45941162,3,1,1,1,-0.3228289303,0.188546756,,,1.055004052,0.09182001178,1.258430784,0.2293392202,1.397256139,0.1490712543,16
17,20,24.22693467,0.0000311970028,15.78556121,0.00005817086425,0.0001271364084,0.00002225904352,0.0002513677521,0.00002819629089,0.0008225409884,0.0001511604096,0,0.00003621372128,154.7327843,8.987281487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,-1.493630741,0.09316261998,1,0,1.977150017,0.4111114838,,,,,17
18,21,24.22645076,0.00002406921151,15.78668342,0.00005375632498,0.0001010272318,0.00002287741899,0.0001448883768,0.00003044213612,0,0.0001267949514,0,0.00005621073153,0,18.52481986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,-1.04112709,0.1745021769,1,0,1.434151706,0.443020308,,,,,18
19,22,24.22111829,0.00002999324006,15.8012478,0.00005212862323,0.00009090828699,0.00002257211007,0.000125054765,0.00003018388469,0.0004189937376,0.0001251986528,0,0.00006619769716,169.4474087,25.04090591,,,,,,,,,,,,,,,,6,24.2210692,0.00002428125626,15.80127843,0.00002903308632,0.00006707791547,0.000009299523145,0.00008312453807,0.00001402706252,0.0003737672294,0.00007920844529,0,0.00004085929825,40.74315147,15.8019914,2,1,0,1,-0.3392013521,0.2445971297,,,1.37561458,0.4763438308,,,1.239223632,0.2706395451,19
20,23,24.21793029,0.00003137754764,15.76218922,0.00002190063488,0.0001159036238,0.0000224651819,0.000122500142,0.00003146359793,0,0.00007510649411,0,0.00004978150564,0,29.35860967,4,24.21789703,0.00003229059617,15.76220332,0.00003262271768,0.0001162136566,0.00002662315033,0.0001269895747,0.00003582960101,0.0001500057961,0.0000812350594,0.0001147895529,0.00007130311613,148.2343569,104.9962886,7,24.21789113,0.00002111891116,15.76216326,0.00002337723155,0.0000775630558,0.000009835195402,0.0001003533629,0.00001454592028,0.0002844611774,0.00005808330925,0.000196884765,0.00004615126011,46.53195602,35.96526011,3,1,1,1,-0.178331343,0.1152116019,,,1.056913822,0.3400869362,1.092725059,0.3971385376,1.293829412,0.24917062,20
21,24,24.21467903,0.00004013514058,15.76034454,0.00002280980369,0.00009751632313,0.00002204620673,0.00009967808328,0.00003123820091,0,0.00009645891147,0,0.00005013080894,0,22.58395009,,,,,,,,,,,,,,,,8,24.21473066,0.00003130183391,15.76032544,0.00002986438781,0.00005093106346,0.000008725035477,0.00005682150672,0.00001351364812,0.0002530459605,0.00008313830033,0,0.00005888005252,61.67946018,37.0395224,2,1,0,1,-0.4667877939,0.3267457374,,,1.022168188,0.394991879,,,1.115655218,0.3270006106,21
22,25,24.21113241,0.00003033308603,15.63185927,0.00002672394677,0.0002690739891,0.00006418957748,0.0002251705802,0.00009386732796,0,0.00007861267299,0,0.00005368752934,0,39.14436145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,,,0,0,0.8368351801,0.4019352903,,,,,22
23,26,24.2093177,0.00003790791695,15.80547154,0.00003326511436,0.0001109013039,0.00002210981533,0.0001741359677,0.00002882889567,0.0004660532692,0.0001020535111,0.0001541038639,0.00006074265725,51.88830038,23.64377697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,-1.268837572,0.1374987643,1,0,1.570188641,0.4069013739,,,,,23
24,27,24.20080832,0.00000853602307,15.75856234,0.00000806410596,0.0003608409126,0.00002268037952,0.0003906143912,0.00003099350572,0.0002317909542,0.00002191419325,0,0.00001686452031,49.05481373,13.76749328,,,,,,,,,,,,,,,,10,24.20077746,0.00003477971381,15.75849383,0.00003801445626,0.00004574705142,0.000008221053824,0.00006540298181,0.0000122638974,0.0003500904571,0.00009679040869,0.0002326951967,0.00007316118452,45.90985109,45.37148761,2,1,0,1,-1.484297683,0.1691052157,,,1.082511372,0.109576504,,,1.429665515,0.3713157372,24
25,28,24.19712207,0.00003195602639,15.77664509,0.00003252624772,0.0001008544583,0.00002111952593,0.0001279091183,0.00002857588114,0.0002989652144,0.00008757622683,0.0001406170743,0.0000621259148,137.7367809,36.81485073,,,,,,,,,,,,,,,,11,24.19716497,0.0000200438164,15.77662432,0.00004376266146,0.00003807505294,0.000006810523113,0.00003793229056,0.00001104840657,0,0.000103542388,0,0.00004611661175,0,18.53386549,2,1,0,1,-1.009532724,0.3048731148,,,1.268254478,0.3883466016,,,0.9962505008,0.3405239415,25
26,29,24.1885881,0.00000375292366,15.79663358,0.00000373128834,0.000822159563,0.00002647952377,0.001008318707,0.00003470149053,0.0002179408871,0.00000929357815,0.0001965109191,0.00000830258423,136.5750951,12.8421468,5,24.1885774,0.0000045402332,15.79663858,0.0000045332371,0.0005556427298,0.00002229984423,0.0006235605917,0.0000265467734,0.0001573432171,0.0000110764936,0.0001467443409,0.0000102748591,29.85415472,24.69441263,13,24.18856541,0.00000344790285,15.79664401,0.00000414549852,0.0003851571915,0.00002634088173,0.0005574787134,0.00003820938833,0.0003305403192,0.00000977622214,0.0002662459112,0.00000810194379,158.4483967,6.912277913,3,1,1,1,-0.5604228101,0.09998134866,,,1.226427025,0.05780772539,1.122232971,0.06565918519,1.447405698,0.1401434619,26
27,30,24.18628792,0.0000358079966,15.74978862,0.00006393088524,0.00008658167679,0.00002186252064,0.0001573824435,0.00002780376561,0.0005840414886,0.0001561928841,0.0001903341255,0.00007333415055,163.9791411,21.54614612,,,,,,,,,,,,,,,,14,24.1863144,0.00002336337856,15.7498014,0.00003115504032,0.00007247186292,0.00000911347326,0.0001394000362,0.00001419283198,0.0005243352497,0.00007569921591,0.0003342078829,0.00005175717187,154.8331312,20.89294011,2,1,0,1,-0.1007699775,0.169348403,,,1.817733836,0.5601749915,,,1.923505628,0.3112251336,27
28,31,24.17639476,0.00003884399972,15.80474382,0.00002998593713,0.0001044295706,0.0000212513672,0.0001530958433,0.00002803465063,0.0004201790531,0.00009785477292,0.0001337337378,0.00006145975716,60.58347553,26.76326694,,,,,,,,,,,,,,,,17,24.17633498,0.00003261180926,15.80474942,0.00003181774224,0.00005471511863,0.000007850600138,0.00009721514454,0.00001181374888,0.000516299556,0.00009157108654,0.0002668089467,0.00005591029284,51.19605533,20.1533785,2,1,0,1,-0.3771783669,0.1825290906,,,1.46602004,0.4013371852,,,1.776751051,0.3340784563,28
29,32,24.17061849,0.00003444948487,15.81325522,0.0000423187907,0.00009009391262,0.00002149522674,0.0001194751205,0.00002888483988,0.000378407905,0.0001090825481,0,0.00006791597128,32.66010806,31.24961222,,,,,,,,,,,,,,,,18,24.17057908,0.00002925151959,15.81330756,0.00003751605303,0.00005554791342,0.000008320627504,0.0001033981648,0.0000125043991,0.0004882223807,0.00009025967891,0.0003407110904,0.00006635144077,155.3864708,31.81352812,2,1,0,1,-0.1200300669,0.2245144408,,,1.32611757,0.4504385654,,,1.861423021,0.3583553666,29
